epoch,accuracy,loss,val_accuracy,val_loss
0,0.2321428507566452,2.7272040843963623,0.2083333283662796,2.206360101699829
1,0.0982142835855484,2.532259225845337,0.2083333283662796,2.0609753131866455
2,0.2410714328289032,2.289180278778076,0.2083333283662796,1.953743577003479
3,0.1339285671710968,2.5953094959259033,0.2083333283662796,1.8793511390686035
4,0.1607142835855484,2.3837814331054688,0.2083333283662796,1.8284622430801392
5,0.2232142835855484,2.2721381187438965,0.1666666716337204,1.79422128200531
6,0.2321428507566452,2.079925298690796,0.1666666716337204,1.7646383047103882
7,0.1964285671710968,2.0497052669525146,0.1666666716337204,1.734511375427246
8,0.2321428507566452,2.06269907951355,0.25,1.7101058959960938
9,0.2321428507566452,1.9649066925048828,0.2083333283662796,1.6894927024841309
10,0.1875,2.2321267127990723,0.2083333283662796,1.6727131605148315
11,0.2321428507566452,2.0661303997039795,0.2083333283662796,1.6623226404190063
12,0.2321428507566452,2.163827419281006,0.2083333283662796,1.652295470237732
13,0.2321428507566452,1.9268943071365356,0.2083333283662796,1.6393980979919434
14,0.2142857164144516,2.0050137042999268,0.2083333283662796,1.626596450805664
15,0.2053571492433548,2.084697723388672,0.2083333283662796,1.6112552881240845
16,0.2321428507566452,2.1163315773010254,0.2083333283662796,1.5976476669311523
17,0.3214285671710968,1.9379922151565552,0.2083333283662796,1.5891361236572266
18,0.3125,1.8464215993881226,0.2083333283662796,1.5846751928329468
19,0.25,1.946584939956665,0.2083333283662796,1.5798009634017944
20,0.3035714328289032,1.9392518997192383,0.2083333283662796,1.5690702199935913
21,0.3035714328289032,1.7948496341705322,0.2083333283662796,1.5578373670578003
22,0.3035714328289032,1.7559678554534912,0.2083333283662796,1.5502265691757202
23,0.2767857015132904,1.9423102140426636,0.2083333283662796,1.542791724205017
24,0.25,1.8092308044433594,0.2083333283662796,1.5307611227035522
25,0.2232142835855484,1.9533770084381104,0.25,1.5218299627304077
26,0.2857142984867096,1.8545286655426025,0.2916666567325592,1.5118108987808228
27,0.25,1.9264451265335083,0.2916666567325592,1.5043398141860962
28,0.3035714328289032,1.9524508714675903,0.2916666567325592,1.4960169792175293
29,0.2857142984867096,1.7793184518814087,0.3333333432674408,1.488653540611267
30,0.2857142984867096,1.7413634061813354,0.2916666567325592,1.4803673028945923
31,0.2589285671710968,1.86204993724823,0.2916666567325592,1.4785195589065552
32,0.375,1.62034010887146,0.2916666567325592,1.4761104583740234
33,0.2321428507566452,1.8374669551849365,0.3333333432674408,1.4693547487258911
34,0.3303571343421936,1.9397772550582886,0.375,1.4617691040039062
35,0.3928571343421936,1.570144534111023,0.2916666567325592,1.4588708877563477
36,0.2321428507566452,1.9587355852127075,0.2916666567325592,1.454264760017395
37,0.3392857015132904,1.6562503576278687,0.2916666567325592,1.4531837701797485
38,0.3928571343421936,1.5154532194137573,0.2916666567325592,1.4500480890274048
39,0.2678571343421936,2.000443935394287,0.25,1.4488630294799805
40,0.2946428656578064,1.8043899536132812,0.25,1.4460023641586304
41,0.4375,1.3617204427719116,0.25,1.4411325454711914
42,0.3392857015132904,1.744498610496521,0.25,1.4389716386795044
43,0.25,1.7042210102081299,0.25,1.4324721097946167
44,0.3571428656578064,1.5640698671340942,0.25,1.4240137338638306
45,0.3303571343421936,1.7087517976760864,0.25,1.4166151285171509
46,0.2589285671710968,2.05548357963562,0.25,1.4139569997787476
47,0.375,1.5808230638504028,0.25,1.4127930402755737
48,0.2857142984867096,1.61314857006073,0.25,1.4057321548461914
49,0.375,1.5829203128814697,0.2916666567325592,1.397897720336914
50,0.3035714328289032,1.6855324506759644,0.25,1.39298677444458
51,0.375,1.6148052215576172,0.25,1.3898677825927734
52,0.3392857015132904,1.707381248474121,0.25,1.3890806436538696
53,0.375,1.5936275720596313,0.25,1.3885622024536133
54,0.3214285671710968,1.7327334880828857,0.25,1.3834718465805054
55,0.3392857015132904,1.7897871732711792,0.25,1.3800874948501587
56,0.3392857015132904,1.7087987661361694,0.2916666567325592,1.3793245553970337
57,0.3482142984867096,1.5666720867156982,0.2916666567325592,1.3789077997207642
58,0.3928571343421936,1.425016164779663,0.2916666567325592,1.3733793497085571
59,0.3482142984867096,1.584637999534607,0.3333333432674408,1.3623491525650024
60,0.4464285671710968,1.4748445749282837,0.3333333432674408,1.3494329452514648
61,0.4375,1.5122572183609009,0.375,1.3384294509887695
62,0.3660714328289032,1.6002047061920166,0.375,1.3322632312774658
63,0.4107142984867096,1.6815032958984375,0.375,1.3310978412628174
64,0.4107142984867096,1.4250590801239014,0.3333333432674408,1.3268920183181763
65,0.3660714328289032,1.6095153093338013,0.375,1.3234858512878418
66,0.3392857015132904,1.4957000017166138,0.3333333432674408,1.3215680122375488
67,0.3035714328289032,1.6299782991409302,0.375,1.318843960762024
68,0.3928571343421936,1.3974806070327759,0.3333333432674408,1.3223501443862915
69,0.375,1.4651118516921997,0.3333333432674408,1.32308828830719
70,0.3839285671710968,1.3021057844161987,0.3333333432674408,1.3192163705825806
71,0.4107142984867096,1.3791732788085938,0.3333333432674408,1.3144981861114502
